hwu
test
alarm settings -> predict label: alarm_set, true label: alarm_query
is there an alarm at four am -> predict label: alarm_set, true label: alarm_query
turn off my first alarm -> predict label: iot_wemo_off, true label: alarm_remove
change alarm to start at midnight -> predict label: alarm_remove, true label: alarm_set
wake up time -> predict label: datetime_query, true label: alarm_set
please talk softer -> predict label: audio_volume_up, true label: audio_volume_down
turn off media volume -> predict label: audio_volume_down, true label: audio_volume_mute
no notifications for five minutes -> predict label: email_query, true label: audio_volume_mute
turn off the sound -> predict label: iot_hue_lightoff, true label: audio_volume_mute
just increase the volume a little -> predict label: audio_volume_down, true label: audio_volume_up
raise volume to level seven on music player -> predict label: audio_volume_down, true label: audio_volume_up
rise volume -> predict label: audio_volume_down, true label: audio_volume_up
please increase the volume of the music hips don't lie -> predict label: audio_volume_down, true label: audio_volume_up
increase volume please -> predict label: audio_volume_down, true label: audio_volume_up
increase volume to fifty percent -> predict label: audio_volume_down, true label: audio_volume_up
when is the school dance junction marked -> predict label: recommendation_events, true label: calendar_query
do i have any notifications from social media -> predict label: social_query, true label: calendar_query
is there anything i need to be aware of -> predict label: lists_query, true label: calendar_query
do i have any undone tasks -> predict label: lists_query, true label: calendar_query
what is left for today -> predict label: lists_query, true label: calendar_query
list out my upcoming events -> predict label: lists_query, true label: calendar_query
one thousand two hundred and thirty pm already you will have a meeting in ten mins -> predict label: calendar_set, true label: calendar_query
when the birthday will be -> predict label: datetime_query, true label: calendar_query
what day of the week is my birthday this year -> predict label: datetime_query, true label: calendar_query
format the calendar -> predict label: calendar_query, true label: calendar_remove
make sure there is no events on my calendar -> predict label: calendar_query, true label: calendar_remove
notify me when the event is going to take place -> predict label: calendar_query, true label: calendar_set
blot me all the phone calls planned for the morning of twenty three march -> predict label: email_query, true label: calendar_set
remind me to call my grandma this Sunday -> predict label: email_sendemail, true label: calendar_set
next week my uncle birthday -> predict label: calendar_query, true label: calendar_set
see if john is available for a meeting on Monday -> predict label: calendar_query, true label: calendar_set
remind me about the meeting -> predict label: calendar_query, true label: calendar_set
set the alarm in my calendar events before five mins -> predict label: alarm_set, true label: calendar_set
activate a one week notification before my anniversary please -> predict label: calendar_remove, true label: calendar_set
why do people use avocado seeds -> predict label: general_quirky, true label: cooking_recipe
new york time please -> predict label: datetime_convert, true label: datetime_query
what is the time difference between here and dakar -> predict label: datetime_convert, true label: datetime_query
tell me the time in this time zone -> predict label: datetime_convert, true label: datetime_query
what time is it in the other time zones -> predict label: datetime_convert, true label: datetime_query
please add johndoe@yahoocom to my contact list -> predict label: social_post, true label: email_addcontact
refresh email -> predict label: email_sendemail, true label: email_query
open email -> predict label: email_sendemail, true label: email_query
carlos linux upgrade email -> predict label: email_addcontact, true label: email_query
have you responded my phone calls -> predict label: email_query, true label: email_querycontact
does contact mona has an email as well -> predict label: email_addcontact, true label: email_querycontact
how old is mary s. -> predict label: qa_factoid, true label: email_querycontact
did mom text me -> predict label: email_query, true label: email_querycontact
please let me know where david is travelling -> predict label: transport_query, true label: email_querycontact
is hayden still living on turnpike lane -> predict label: qa_factoid, true label: email_querycontact
add rebecca green to my list of favorite contacts -> predict label: lists_query, true label: email_querycontact
jj.nzt@yahoo dot com -> predict label: qa_stock, true label: email_sendemail
tell to joe's email that come to my house in this moment i am alone -> predict label: email_addcontact, true label: email_sendemail
add mail id subject content -> predict label: email_addcontact, true label: email_sendemail
any one is good, olly. -> predict label: general_praise, true label: general_dontcare
this is unimportant for me. -> predict label: general_negate, true label: general_dontcare
any one is good to me. -> predict label: general_praise, true label: general_dontcare
this is unimportant, olly. -> predict label: general_praise, true label: general_dontcare
couldn't understand what you just said now. -> predict label: general_negate, true label: general_explain
i didn't get your response. -> predict label: general_negate, true label: general_explain
do not get this. -> predict label: general_negate, true label: general_explain
didn't understand what you said now. -> predict label: general_negate, true label: general_explain
today i had a lunch with my longtime sweetheart play me a nice song to the mood -> predict label: play_music, true label: general_quirky
what's on tv -> predict label: recommendation_movies, true label: general_quirky
your salary -> predict label: qa_stock, true label: general_quirky
overall day -> predict label: datetime_query, true label: general_quirky
anything i need to know -> predict label: lists_query, true label: general_quirky
is mile marker sixty five where the hanging tree is located -> predict label: recommendation_locations, true label: general_quirky
what is your country -> predict label: qa_factoid, true label: general_quirky
do i need to spare washing my car today -> predict label: iot_cleaning, true label: general_quirky
you are chatbot -> predict label: play_game, true label: general_quirky
how high is the quality of this stone -> predict label: qa_factoid, true label: general_quirky
can you please tell me who are you -> predict label: email_querycontact, true label: general_quirky
where did he was yesterday -> predict label: qa_factoid, true label: general_quirky
have you come across any new recipes -> predict label: cooking_recipe, true label: general_quirky
give me the product review from gamespot about the nintendo switch -> predict label: play_audiobook, true label: general_quirky
retry please. -> predict label: general_commandstop, true label: general_repeat
could you tell me the last one you just said again please. -> predict label: general_confirm, true label: general_repeat
make me a capuccino -> predict label: takeaway_order, true label: iot_coffee
please make the lights natural -> predict label: iot_hue_lightup, true label: iot_hue_lightchange
lights to fifty percent -> predict label: iot_hue_lightup, true label: iot_hue_lightchange
turn the lights on party mode -> predict label: iot_hue_lighton, true label: iot_hue_lightchange
set the mood please -> predict label: play_game, true label: iot_hue_lightchange
make curser adjustable position -> predict label: iot_wemo_on, true label: iot_hue_lightchange
can you set the living room lights to pink -> predict label: iot_hue_lightup, true label: iot_hue_lightchange
let's have a warm glow in the front room -> predict label: iot_hue_lighton, true label: iot_hue_lightchange
switch lights to red tone -> predict label: iot_hue_lightup, true label: iot_hue_lightchange
change my light color to blue and please turn off the kitchen light -> predict label: iot_hue_lightoff, true label: iot_hue_lightchange
light is too much -> predict label: iot_hue_lighton, true label: iot_hue_lightdim
i would like all the lights on when i enter -> predict label: iot_hue_lighton, true label: iot_hue_lightup
raise all the lights on -> predict label: iot_hue_lighton, true label: iot_hue_lightup
increase -> predict label: audio_volume_down, true label: iot_hue_lightup
start new smart socket -> predict label: iot_wemo_off, true label: iot_wemo_on
make the wemo go on -> predict label: iot_wemo_off, true label: iot_wemo_on
add these documents to the things i need to travel with -> predict label: email_querycontact, true label: lists_createoradd
start new list -> predict label: lists_remove, true label: lists_createoradd
put this on my list -> predict label: lists_query, true label: lists_createoradd
open google keep -> predict label: social_post, true label: lists_query
did i put toothpaste on my pick up list -> predict label: lists_createoradd, true label: lists_query
groceries list -> predict label: lists_createoradd, true label: lists_query
show the list that are available with numbers -> predict label: lists_createoradd, true label: lists_query
what did i put down already on the walmart list -> predict label: lists_createoradd, true label: lists_query
what is on my playlist -> predict label: music_query, true label: lists_query
whats the schedule for today -> predict label: calendar_query, true label: lists_query
please delete what i just typed -> predict label: calendar_remove, true label: lists_remove
take bread out from the shopping list -> predict label: lists_createoradd, true label: lists_remove
add song to running list -> predict label: music_settings, true label: music_likeness
i like to be it -> predict label: general_praise, true label: music_likeness
add this channel to pandora -> predict label: play_radio, true label: music_likeness
i like it -> predict label: general_praise, true label: music_likeness
i favorite singer is arijit singh find his voice on radio -> predict label: music_query, true label: music_likeness
what is in my favorites music folder -> predict label: music_query, true label: music_likeness
please thumbs up this song -> predict label: music_settings, true label: music_likeness
when did pop it like it's hot come out -> predict label: iot_cleaning, true label: music_query
who is this -> predict label: qa_definition, true label: music_query
music traking -> predict label: music_likeness, true label: music_query
repeat this song when it ends -> predict label: play_music, true label: music_settings
cut the songs in this musics -> predict label: play_music, true label: music_settings
please repeat that music again of akon -> predict label: play_music, true label: music_settings
repeat this song -> predict label: play_music, true label: music_settings
repeat same song for ten times -> predict label: play_music, true label: music_settings
add newscast time to daily schedule -> predict label: calendar_set, true label: news_query
what were the cities affected by the earthquake -> predict label: qa_factoid, true label: news_query
find me info on cars -> predict label: qa_factoid, true label: news_query
pause resume -> predict label: audio_volume_mute, true label: play_audiobook
start playing american gods where i last stopped -> predict label: play_music, true label: play_audiobook
resume animal farm -> predict label: recommendation_locations, true label: play_audiobook
can you play file -> predict label: play_game, true label: play_audiobook
give me a company for playing football -> predict label: qa_factoid, true label: play_game
bring up papa pear saga -> predict label: lists_createoradd, true label: play_game
paper scissors or stone -> predict label: general_quirky, true label: play_game
i would like to hear the theme song to this is us -> predict label: music_likeness, true label: play_music
play the list from my favorites -> predict label: music_query, true label: play_music
put poker face by lady gaga next in the play queue -> predict label: play_game, true label: play_music
rock -> predict label: music_likeness, true label: play_music
play jumper by third eye blind -> predict label: play_game, true label: play_music
hey play crazy by britney spears -> predict label: music_likeness, true label: play_music
play all third day -> predict label: play_game, true label: play_music
play my play list -> predict label: music_query, true label: play_podcasts
can you play back to december -> predict label: play_game, true label: play_podcasts
skip this one -> predict label: lists_remove, true label: play_podcasts
play radia -> predict label: play_music, true label: play_radio
play nine hundred and seventy one -> predict label: play_music, true label: play_radio
show me upcoming programmes on one hundred and five point one -> predict label: play_podcasts, true label: play_radio
please play some songs for kids -> predict label: play_music, true label: play_radio
how much is b. p. in u. s. d. -> predict label: qa_factoid, true label: qa_currency
u. s. d. to g. b. p. -> predict label: qa_factoid, true label: qa_currency
tell about the origin of the word evolution -> predict label: general_quirky, true label: qa_definition
what do you know about the statue of liberty -> predict label: qa_factoid, true label: qa_definition
google definition for me -> predict label: qa_factoid, true label: qa_definition
