clinc
how would i say what is your name if i were french -> predict label: what_is_your_name, true label: translate
how much money can i transfer today -> predict label: income, true label: transfer
add funds to the retirement account from the pnc account only -> predict label: freeze_account, true label: transfer
repeat what the weather will be like -> predict label: weather, true label: transfer
who set up the numbers for it -> predict label: who_made_you, true label: timer
what is the definiton of auspicious -> predict label: calculator, true label: definition
what's the answer to it all -> predict label: maybe, true label: meaning_of_life
i need to sign up for a new allstate plan -> predict label: new_card, true label: insurance_change
what is the procedure for signing up for a new allstate plan -> predict label: new_card, true label: insurance_change
how do i sign up for a new allstatedplan -> predict label: new_card, true label: insurance_change
phone number to state farm to change insurance -> predict label: make_call, true label: insurance_change
what are the travel conditions for haiti -> predict label: weather, true label: travel_alert
how is a vacation request done -> predict label: pto_request_status, true label: pto_request
how is a vacation request made -> predict label: pto_request_status, true label: pto_request
vacation request information -> predict label: pto_request_status, true label: pto_request
vacation request please -> predict label: pto_request_status, true label: pto_request
i have a revolving store card and defaulted so will my fico score be affected -> predict label: damaged_card, true label: improve_credit_score
do you know when my next check is coming -> predict label: order_checks, true label: payday
what day can i expect to receive payment on -> predict label: bill_due, true label: payday
can credit card companies expedite delivery of reissued credit cards -> predict label: new_card, true label: replacement_card_duration
can you call the help desk line for my credit card company -> predict label: make_call, true label: replacement_card_duration
how can i request a new credit card -> predict label: new_card, true label: replacement_card_duration
what's the phone number for my credit card company -> predict label: make_call, true label: replacement_card_duration
is it after noon -> predict label: how_busy, true label: time
a hidden government facility -> predict label: directions, true label: where_are_you_from
what are you programmed to do for me -> predict label: who_made_you, true label: what_can_i_ask_you
undecided -> predict label: no, true label: maybe
i'd like to make a reservation at rooth chris, can you do that -> predict label: accept_reservations, true label: restaurant_reservation
are there any open reservations at outback tonight -> predict label: accept_reservations, true label: restaurant_reservation
what's the mileage to get the the taj mahal in atlantic city -> predict label: mpg, true label: distance
how many minutes am i from texaco -> predict label: how_busy, true label: distance
am i close to arriving at the post office -> predict label: directions, true label: distance
when will i arrive at hy-vee -> predict label: how_busy, true label: distance
when will i get to orlando -> predict label: flight_status, true label: distance
do i have a ways to go or am i close to getting to penn station -> predict label: directions, true label: distance
what's your designation -> predict label: what_is_your_name, true label: user_name
what time is it in phoenix -> predict label: time, true label: timezone
when did i last make a purchase -> predict label: last_maintenance, true label: transactions
how much did i spend on my most recent transaction -> predict label: spending_history, true label: transactions
is my visa bill over my limit this month -> predict label: credit_limit, true label: transactions
what have i spent things on -> predict label: spending_history, true label: transactions
what were my last 10 charges on my credit card -> predict label: report_fraud, true label: transactions
show what i have spent things on -> predict label: spending_history, true label: transactions
how much have i spent on my debit card this month -> predict label: spending_history, true label: transactions
how much have i spent on my bank card sine i last paid my bill -> predict label: spending_history, true label: transactions
how much was my last target trip -> predict label: spending_history, true label: transactions
today my electric bill will be paid, or should be -> predict label: bill_due, true label: pay_bill
today is the day i should pay my electric bill -> predict label: bill_due, true label: pay_bill
when will my vacation time be confirmed -> predict label: next_holiday, true label: pto_request_status
