hwu
alarm settings -> predict label: alarm_remove, true label: alarm_query
is there an alarm at four am -> predict label: alarm_set, true label: alarm_query
wake up time -> predict label: datetime_convert, true label: alarm_set
change my alarms to mountain time -> predict label: alarm_remove, true label: alarm_set
please talk softer -> predict label: audio_volume_up, true label: audio_volume_down
silence volume on speakers -> predict label: audio_volume_up, true label: audio_volume_mute
turn off media volume -> predict label: audio_volume_down, true label: audio_volume_mute
no notifications for five minutes -> predict label: email_query, true label: audio_volume_mute
turn off the sound -> predict label: iot_wemo_off, true label: audio_volume_mute
just increase the volume a little -> predict label: audio_volume_down, true label: audio_volume_up
increase volume please -> predict label: audio_volume_down, true label: audio_volume_up
increase volume to fifty percent -> predict label: audio_volume_down, true label: audio_volume_up
when is the school dance junction marked -> predict label: recommendation_events, true label: calendar_query
do i have any notifications from social media -> predict label: social_query, true label: calendar_query
do i have any undone tasks -> predict label: calendar_remove, true label: calendar_query
what is left for today -> predict label: lists_query, true label: calendar_query
one thousand two hundred and thirty pm already you will have a meeting in ten mins -> predict label: calendar_set, true label: calendar_query
what is the plan for tonight -> predict label: recommendation_events, true label: calendar_query
what day of the week is my birthday this year -> predict label: datetime_query, true label: calendar_query
make sure there is no events on my calendar -> predict label: calendar_query, true label: calendar_remove
notify me when the event is going to take place -> predict label: calendar_query, true label: calendar_set
blot me all the phone calls planned for the morning of twenty three march -> predict label: email_query, true label: calendar_set
next week my uncle birthday -> predict label: email_querycontact, true label: calendar_set
see if john is available for a meeting on Monday -> predict label: calendar_query, true label: calendar_set
remind me about the meeting -> predict label: calendar_query, true label: calendar_set
set the alarm in my calendar events before five mins -> predict label: alarm_set, true label: calendar_set
please cook me a hamburger -> predict label: takeaway_order, true label: cooking_recipe
why do people use avocado seeds -> predict label: general_quirky, true label: cooking_recipe
change mountain standard to pacific -> predict label: audio_volume_down, true label: datetime_convert
what is today -> predict label: general_quirky, true label: datetime_query
new york time please -> predict label: datetime_convert, true label: datetime_query
what is the time difference between here and dakar -> predict label: datetime_convert, true label: datetime_query
tell me the time in this time zone -> predict label: datetime_convert, true label: datetime_query
what time is it in the other time zones -> predict label: datetime_convert, true label: datetime_query
add this new email -> predict label: email_sendemail, true label: email_addcontact
refresh email -> predict label: email_sendemail, true label: email_query
open email -> predict label: email_sendemail, true label: email_query
carlos linux upgrade email -> predict label: email_sendemail, true label: email_query
my mail -> predict label: email_sendemail, true label: email_query
can you give me details on john -> predict label: qa_factoid, true label: email_querycontact
have you responded my phone calls -> predict label: email_query, true label: email_querycontact
how old is mary s. -> predict label: qa_factoid, true label: email_querycontact
did mom text me -> predict label: email_query, true label: email_querycontact
is hayden still living on turnpike lane -> predict label: qa_factoid, true label: email_querycontact
add rebecca green to my list of favorite contacts -> predict label: email_addcontact, true label: email_querycontact
send new email to jana dot litt at gmail dot com -> predict label: email_addcontact, true label: email_sendemail
send email to new email address -> predict label: email_addcontact, true label: email_sendemail
jj.nzt@yahoo dot com -> predict label: email_addcontact, true label: email_sendemail
email tom the date and time of tomorrow's meeting -> predict label: calendar_set, true label: email_sendemail
add mail id subject content -> predict label: email_addcontact, true label: email_sendemail
any one is good, olly. -> predict label: general_praise, true label: general_dontcare
