hwu
test
alarm settings -> predict label: alarm_set, true label: alarm_query
is there an alarm at four am -> predict label: alarm_set, true label: alarm_query
please let me know the morning alarm time kept for weekends -> predict label: alarm_set, true label: alarm_query
wake up time -> predict label: datetime_convert, true label: alarm_set
please talk softer -> predict label: audio_volume_up, true label: audio_volume_down
turn off media volume -> predict label: audio_volume_up, true label: audio_volume_mute
no notifications for five minutes -> predict label: email_query, true label: audio_volume_mute
turn off the sound -> predict label: iot_wemo_off, true label: audio_volume_mute
increase volume to fifty percent -> predict label: audio_volume_down, true label: audio_volume_up
when is the school dance junction marked -> predict label: recommendation_events, true label: calendar_query
do i have any notifications from social media -> predict label: social_query, true label: calendar_query
do i need to pick up the kids from anything today -> predict label: recommendation_events, true label: calendar_query
is there anything i need to be aware of -> predict label: lists_query, true label: calendar_query
what is left for today -> predict label: lists_query, true label: calendar_query
one thousand two hundred and thirty pm already you will have a meeting in ten mins -> predict label: calendar_set, true label: calendar_query
when the birthday will be -> predict label: datetime_query, true label: calendar_query
what is the plan for tonight -> predict label: recommendation_events, true label: calendar_query
what day of the week is my birthday this year -> predict label: datetime_query, true label: calendar_query
format the calendar -> predict label: calendar_set, true label: calendar_remove
make sure there is no events on my calendar -> predict label: calendar_query, true label: calendar_remove
notify me when the event is going to take place -> predict label: recommendation_events, true label: calendar_set
blot me all the phone calls planned for the morning of twenty three march -> predict label: email_query, true label: calendar_set
next week my uncle birthday -> predict label: calendar_query, true label: calendar_set
see if john is available for a meeting on Monday -> predict label: calendar_query, true label: calendar_set
remind me about the meeting -> predict label: calendar_query, true label: calendar_set
set the alarm in my calendar events before five mins -> predict label: alarm_set, true label: calendar_set
please cook me a hamburger -> predict label: takeaway_order, true label: cooking_recipe
what is today -> predict label: qa_definition, true label: datetime_query
new york time please -> predict label: datetime_convert, true label: datetime_query
what is the time difference between here and dakar -> predict label: datetime_convert, true label: datetime_query
tell me the time in this time zone -> predict label: datetime_convert, true label: datetime_query
what time is it in the other time zones -> predict label: datetime_convert, true label: datetime_query
refresh email -> predict label: email_sendemail, true label: email_query
open email -> predict label: email_sendemail, true label: email_query
carlos linux upgrade email -> predict label: email_addcontact, true label: email_query
can you give me details on john -> predict label: qa_factoid, true label: email_querycontact
have you responded my phone calls -> predict label: email_query, true label: email_querycontact
does contact mona has an email as well -> predict label: email_addcontact, true label: email_querycontact
show number and contact email of rehan -> predict label: email_addcontact, true label: email_querycontact
did mom text me -> predict label: email_query, true label: email_querycontact
is hayden still living on turnpike lane -> predict label: qa_factoid, true label: email_querycontact
add rebecca green to my list of favorite contacts -> predict label: email_addcontact, true label: email_querycontact
jj.nzt@yahoo dot com -> predict label: social_post, true label: email_sendemail
tell to joe's email that come to my house in this moment i am alone -> predict label: email_addcontact, true label: email_sendemail
add mail id subject content -> predict label: email_addcontact, true label: email_sendemail
any one is good, olly. -> predict label: general_praise, true label: general_dontcare
this is unimportant for me. -> predict label: general_explain, true label: general_dontcare
any one is good to me. -> predict label: general_praise, true label: general_dontcare
this is unimportant, olly. -> predict label: general_negate, true label: general_dontcare
do not get this. -> predict label: general_negate, true label: general_explain
didn't understand what you said now. -> predict label: general_negate, true label: general_explain
you've done it right. -> predict label: general_affirm, true label: general_praise
today i had a lunch with my longtime sweetheart play me a nice song to the mood -> predict label: play_music, true label: general_quirky
what's on tv -> predict label: news_query, true label: general_quirky
your salary -> predict label: qa_stock, true label: general_quirky
anything i need to know -> predict label: lists_query, true label: general_quirky
is mile marker sixty five where the hanging tree is located -> predict label: qa_factoid, true label: general_quirky
what is your country -> predict label: qa_factoid, true label: general_quirky
do i need to spare washing my car today -> predict label: iot_cleaning, true label: general_quirky
you are chatbot -> predict label: social_post, true label: general_quirky
can you please tell me who are you -> predict label: qa_factoid, true label: general_quirky
where did he was yesterday -> predict label: email_querycontact, true label: general_quirky
have you come across any new recipes -> predict label: cooking_recipe, true label: general_quirky
how did your day go -> predict label: calendar_query, true label: general_quirky
give me the product review from gamespot about the nintendo switch -> predict label: play_audiobook, true label: general_quirky
let's start over please. -> predict label: play_game, true label: general_repeat
retry please. -> predict label: general_negate, true label: general_repeat
turn on the roomba -> predict label: iot_wemo_on, true label: iot_cleaning
get me some latte please -> predict label: takeaway_order, true label: iot_coffee
make me a capuccino -> predict label: takeaway_order, true label: iot_coffee
please make the lights natural -> predict label: iot_hue_lightup, true label: iot_hue_lightchange
turn the lights on party mode -> predict label: iot_hue_lighton, true label: iot_hue_lightchange
set the mood please -> predict label: iot_coffee, true label: iot_hue_lightchange
make curser adjustable position -> predict label: audio_volume_down, true label: iot_hue_lightchange
can you set the living room lights to pink -> predict label: iot_hue_lightup, true label: iot_hue_lightchange
let's have a warm glow in the front room -> predict label: iot_hue_lighton, true label: iot_hue_lightchange
change my light color to blue and please turn off the kitchen light -> predict label: iot_hue_lightoff, true label: iot_hue_lightchange
light is too much -> predict label: iot_hue_lighton, true label: iot_hue_lightdim
i would like all the lights on when i enter -> predict label: iot_hue_lighton, true label: iot_hue_lightup
increase -> predict label: audio_volume_down, true label: iot_hue_lightup
deactive the socket -> predict label: alarm_remove, true label: iot_wemo_off
i do not want to use the socket anymore -> predict label: general_dontcare, true label: iot_wemo_off
add these documents to the things i need to travel with -> predict label: email_addcontact, true label: lists_createoradd
make a new list of dog breeds -> predict label: cooking_recipe, true label: lists_createoradd
put this on my list -> predict label: lists_query, true label: lists_createoradd
open google keep -> predict label: email_addcontact, true label: lists_query
did i put toothpaste on my pick up list -> predict label: lists_createoradd, true label: lists_query
groceries list -> predict label: lists_createoradd, true label: lists_query
what did i put down already on the walmart list -> predict label: lists_createoradd, true label: lists_query
what is on my playlist -> predict label: music_query, true label: lists_query
whats the schedule for today -> predict label: calendar_query, true label: lists_query
add song to running list -> predict label: music_settings, true label: music_likeness
add this channel to pandora -> predict label: play_radio, true label: music_likeness
what is in my favorites music folder -> predict label: music_query, true label: music_likeness
remember that this song is good but too slow to exercise to -> predict label: play_music, true label: music_likeness
when did pop it like it's hot come out -> predict label: cooking_recipe, true label: music_query
song info -> predict label: music_settings, true label: music_query
who is this -> predict label: qa_definition, true label: music_query
repeat this song when it ends -> predict label: play_music, true label: music_settings
please repeat that music again of akon -> predict label: play_music, true label: music_settings
repeat this song -> predict label: play_music, true label: music_settings
repeat same song for ten times -> predict label: play_music, true label: music_settings
add newscast time to daily schedule -> predict label: calendar_set, true label: news_query
what were the cities affected by the earthquake -> predict label: qa_factoid, true label: news_query
what is the seattle city council doing about homelessness -> predict label: qa_factoid, true label: news_query
what's happening around the world -> predict label: recommendation_events, true label: news_query
i want to know everything that breaks about the dam breaking in california -> predict label: qa_factoid, true label: news_query
find me info on cars -> predict label: email_querycontact, true label: news_query
what is the current state of brexit negotiations -> predict label: qa_factoid, true label: news_query
pause resume -> predict label: audio_volume_mute, true label: play_audiobook
resume animal farm -> predict label: takeaway_query, true label: play_audiobook
can you play file -> predict label: play_game, true label: play_audiobook
give me a company for playing football -> predict label: recommendation_locations, true label: play_game
anyone for tennis -> predict label: qa_factoid, true label: play_game
bring up papa pear saga -> predict label: takeaway_query, true label: play_game
paper scissors or stone -> predict label: iot_cleaning, true label: play_game
i would like to hear the theme song to this is us -> predict label: music_likeness, true label: play_music
put poker face by lady gaga next in the play queue -> predict label: play_game, true label: play_music
turn on the tunes -> predict label: music_settings, true label: play_music
rock -> predict label: music_likeness, true label: play_music
play jumper by third eye blind -> predict label: play_game, true label: play_music
play music playlist -> predict label: music_settings, true label: play_music
play my rap playlist -> predict label: music_settings, true label: play_music
play all third day -> predict label: play_game, true label: play_music
play my play list -> predict label: play_music, true label: play_podcasts
skip this one -> predict label: lists_remove, true label: play_podcasts
play radia -> predict label: play_game, true label: play_radio
play nine hundred and seventy one -> predict label: qa_maths, true label: play_radio
show me upcoming programmes on one hundred and five point one -> predict label: recommendation_movies, true label: play_radio
please play some songs for kids -> predict label: play_music, true label: play_radio
how much is b. p. in u. s. d. -> predict label: qa_stock, true label: qa_currency
u. s. d. to g. b. p. -> predict label: qa_stock, true label: qa_currency
please define forensic -> predict label: qa_factoid, true label: qa_definition
what is love -> predict label: qa_factoid, true label: qa_definition
what do you know about the statue of liberty -> predict label: qa_factoid, true label: qa_definition
google definition for me -> predict label: lists_query, true label: qa_definition
Define economics -> predict label: qa_factoid, true label: qa_definition
describe a rotor -> predict label: general_quirky, true label: qa_definition
define the moon for me -> predict label: qa_factoid, true label: qa_definition
define flabbergasted -> predict label: general_explain, true label: qa_definition
find the meaning of promise -> predict label: general_quirky, true label: qa_definition
how many months in a year -> predict label: datetime_query, true label: qa_factoid
how many pages long is harry potter -> predict label: play_audiobook, true label: qa_factoid
which continent has highest growth of cotton and what is average production -> predict label: qa_currency, true label: qa_factoid
when is shakira's birthday -> predict label: calendar_query, true label: qa_factoid
calculate distance from boston to new york -> predict label: transport_query, true label: qa_factoid
convert ten inches to centimeters -> predict label: qa_currency, true label: qa_maths
what is the answer to this math question -> predict label: general_explain, true label: qa_maths
what is the value of apple -> predict label: qa_currency, true label: qa_stock
show me painting exhibition in bay area -> predict label: qa_factoid, true label: recommendation_events
what's going on -> predict label: news_query, true label: recommendation_events
what is playing at the local theater right now -> predict label: recommendation_movies, true label: recommendation_events
where can i got to grab some drinks in west chester -> predict label: takeaway_order, true label: recommendation_locations
comcast sucks put that on their twitter account -> predict label: social_query, true label: social_post
tell me what's going on snap chat -> predict label: news_query, true label: social_query
take me to the most popular post -> predict label: social_post, true label: social_query
what takeout places are near me -> predict label: recommendation_locations, true label: takeaway_order
where can i order pizza for delivery -> predict label: takeaway_order, true label: takeaway_query
i need to know if mr pizza delivers -> predict label: takeaway_order, true label: takeaway_query
what's the exact time we get food delivered once we place an order for food -> predict label: takeaway_order, true label: takeaway_query
how long until i receive my food -> predict label: cooking_recipe, true label: takeaway_query
where are my takeaway order -> predict label: takeaway_order, true label: takeaway_query
is my order at domino's ready -> predict label: takeaway_order, true label: takeaway_query
restaurant order status -> predict label: takeaway_order, true label: takeaway_query
where can i book a train ticket to oregon -> predict label: transport_ticket, true label: transport_query
navigation search -> predict label: transport_traffic, true label: transport_query
how far away is the nearest rest stop -> predict label: recommendation_locations, true label: transport_query
when i should leave to office -> predict label: calendar_remove, true label: transport_query
find out the the train arrival time and book me -> predict label: transport_query, true label: transport_ticket
book me on a train leaving penn station tomorrow travelling to any city more than two hundred miles away -> predict label: transport_query, true label: transport_ticket
are there are any delays on my commute -> predict label: calendar_query, true label: transport_traffic
is summer going on -> predict label: calendar_query, true label: weather_query
are there any tornado warnings today -> predict label: recommendation_events, true label: weather_query
alarm_query                   0.842     [('alarm_query', 16), ('alarm_set', 3)]
alarm_remove                  1.000     [('alarm_remove', 11)]
alarm_set                     0.947     [('alarm_set', 18), ('datetime_convert', 1)]
audio_volume_down             0.875     [('audio_volume_down', 7), ('audio_volume_up', 1)]
audio_volume_mute             0.800     [('audio_volume_mute', 12), ('audio_volume_up', 1), ('email_query', 1), ('iot_wemo_off', 1)]
audio_volume_up               0.923     [('audio_volume_up', 12), ('audio_volume_down', 1)]
calendar_query                0.526     [('calendar_query', 10), ('recommendation_events', 3), ('lists_query', 2), ('datetime_query', 2), ('social_query', 1), ('calendar_set', 1)]
calendar_remove               0.895     [('calendar_remove', 17), ('calendar_set', 1), ('calendar_query', 1)]
calendar_set                  0.684     [('calendar_set', 13), ('calendar_query', 3), ('recommendation_events', 1), ('email_query', 1), ('alarm_set', 1)]
cooking_recipe                0.947     [('cooking_recipe', 18), ('takeaway_order', 1)]
datetime_convert              1.000     [('datetime_convert', 8)]
datetime_query                0.737     [('datetime_query', 14), ('datetime_convert', 4), ('qa_definition', 1)]
email_addcontact              1.000     [('email_addcontact', 8)]
email_query                   0.842     [('email_query', 16), ('email_sendemail', 2), ('email_addcontact', 1)]
email_querycontact            0.632     [('email_querycontact', 12), ('email_addcontact', 3), ('qa_factoid', 2), ('email_query', 2)]
email_sendemail               0.842     [('email_sendemail', 16), ('email_addcontact', 2), ('social_post', 1)]
general_affirm                1.000     [('general_affirm', 19)]
general_commandstop           1.000     [('general_commandstop', 19)]
general_confirm               1.000     [('general_confirm', 19)]
general_dontcare              0.789     [('general_dontcare', 15), ('general_praise', 2), ('general_explain', 1), ('general_negate', 1)]
general_explain               0.895     [('general_explain', 17), ('general_negate', 2)]
general_joke                  1.000     [('general_joke', 12)]
general_negate                1.000     [('general_negate', 19)]
general_praise                0.947     [('general_praise', 18), ('general_affirm', 1)]
general_quirky                0.316     [('general_quirky', 6), ('qa_factoid', 3), ('play_music', 1), ('news_query', 1), ('qa_stock', 1), ('lists_query', 1), ('iot_cleaning', 1), ('social_post', 1), ('email_querycontact', 1), ('cooking_recipe', 1), ('calendar_query', 1), ('play_audiobook', 1)]
general_repeat                0.895     [('general_repeat', 17), ('play_game', 1), ('general_negate', 1)]
iot_cleaning                  0.938     [('iot_cleaning', 15), ('iot_wemo_on', 1)]
iot_coffee                    0.895     [('iot_coffee', 17), ('takeaway_order', 2)]
iot_hue_lightchange           0.632     [('iot_hue_lightchange', 12), ('iot_hue_lightup', 2), ('iot_hue_lighton', 2), ('iot_coffee', 1), ('audio_volume_down', 1), ('iot_hue_lightoff', 1)]
iot_hue_lightdim              0.917     [('iot_hue_lightdim', 11), ('iot_hue_lighton', 1)]
iot_hue_lightoff              1.000     [('iot_hue_lightoff', 19)]
iot_hue_lighton               1.000     [('iot_hue_lighton', 3)]
iot_hue_lightup               0.857     [('iot_hue_lightup', 12), ('iot_hue_lighton', 1), ('audio_volume_down', 1)]
iot_wemo_off                  0.778     [('iot_wemo_off', 7), ('alarm_remove', 1), ('general_dontcare', 1)]
iot_wemo_on                   1.000     [('iot_wemo_on', 7)]
lists_createoradd             0.842     [('lists_createoradd', 16), ('email_addcontact', 1), ('cooking_recipe', 1), ('lists_query', 1)]
lists_query                   0.684     [('lists_query', 13), ('lists_createoradd', 3), ('email_addcontact', 1), ('music_query', 1), ('calendar_query', 1)]
lists_remove                  1.000     [('lists_remove', 19)]
music_likeness                0.778     [('music_likeness', 14), ('music_settings', 1), ('play_radio', 1), ('music_query', 1), ('play_music', 1)]
music_query                   0.842     [('music_query', 16), ('cooking_recipe', 1), ('music_settings', 1), ('qa_definition', 1)]
music_settings                0.429     [('play_music', 4), ('music_settings', 3)]
news_query                    0.632     [('news_query', 12), ('qa_factoid', 4), ('calendar_set', 1), ('recommendation_events', 1), ('email_querycontact', 1)]
play_audiobook                0.842     [('play_audiobook', 16), ('audio_volume_mute', 1), ('takeaway_query', 1), ('play_game', 1)]
play_game                     0.789     [('play_game', 15), ('recommendation_locations', 1), ('qa_factoid', 1), ('takeaway_query', 1), ('iot_cleaning', 1)]
